微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwzVDAmfv,#重点关注# 【3月起明令禁止网络暴力人肉搜索等违法活动】3月1日起，《网络信息内容生态治理规定》开始实行。规定明确，网络信息内容服务使用者和生产者、平台，不得开展网络暴力、人肉搜索、深度伪造、流量造假、操纵账号等违法活动。网络信息内容生产者应防范和抵制制作、复制、发布含有使用夸张标题、内容与标题严重不符和炒作绯闻、丑闻、劣迹等不良信息等。http://t.cn/A67fUIiX ,,无,无,无,2020-03-01 12:38,微博视频号,12,3,2
IwzxhArtD,#交通出行# #两手抓 两手硬# 【城东高架施工有序推进，确保五月底具备通车条件】作为徐州市重点工程之一的城东大道高架快速路工程及综合管廊工程（以下简称“城东高架”），已经有序复工。目前各个队伍管理者已经全部到岗，确保五月底具备通车条件。按照前期布置，城东高架主要开展4个复工点的施工作业。（L9407)目前，4个工点开工情况比较稳定，工人到岗达到200人左右。从2月17日以来，已经完成路基土方已经完成了9000平方左右。2月底，路基和排水全面施工；3月初，组织整个桥梁附属施工，目前整个队伍管理者，已经全部到岗，附属施工的工人已经到岗部分，开始准备组织有序附属施工；4月底，整个高架桥附属施工全部结束，确保5月底具备通车条件。城东大道高架快速路工程城东大道高架快速路工程西起三环东路，东至徐贾快速通道，总长约12.32千米；其中铜山路地道长0.82千米，地面段1.8千米，高架段9.7千米。总投资约54.5亿元。于2018年6月6日具备全面开工建设，因综合管廊变更等多方面因素影响，工期受到一定限制，高架和管廊工程预计2021年12月底全面建设完成。等到建成通车后，城东大道高架快速路将与徐州高铁东站、高速公路城东出入口实现无缝对接，中间没有一个红绿灯，出行时间至少缩短2/3，将大大拉动城市向东发展，在改善城区交通、方便市民出行的同时，还大大提升了城市品位和档次。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gce7xkoqxwj21ab0u0n8i.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gce7xkng6tj21eh0u0gqm.jpg",无,无,2020-03-01 11:38,微博 weibo.com,17,6,5
Iwz8VE2J1,#阻击疫情 徐州在行动# 【放大招！徐州防控再发力！】当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段。随着江苏响应级别调整，各项限制性措施逐步解除，人群流动逐渐恢复常态，给防控工作带来更大挑战、提出更高要求。大数据+网格化+铁脚板，徐州，防控再发力！  原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gce674pwmrj20hs4bunpe.jpg,无,无,2020-03-01 10:38,微博 weibo.com,77,9,14
IwyAQ2lsg,#阻击疫情 徐州在行动# 【疫情通报(40号)】2020年2月29日0-24时，我市无新增新型冠状病毒肺炎确诊病例。全市累计报告新型冠状病毒肺炎确诊病例79例(包含外省市病例1例)，其中，有轻型病例2例，普通型病例77例。目前出院病例71例。已确诊病例中，按照病例管理地区划分，鼓楼区3例，云龙区5例，贾汪区7例，泉山区5例，丰县3例，沛县7例，睢宁县31例，新沂市2例，邳州市15例，外省市病例1例。目前追踪到密切接触者2076人，已解除医学观察2030人，尚有46人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时尤其是去往人群密集的公共场所时要佩戴口罩；要勤洗手，注意饮食卫生，养成健康的生活方式。单位防护注意事项：复工复产单位要做好健康监测。单位尽量减少集体性活动。食堂要加强餐具、用具消毒，加强室内通风换气，改善室内空气质量。菜品生熟分开，容器保持清洁干燥。职工就餐时提倡错峰就餐，尽量不堂食，排队及就餐时要保持一定的距离。徐州市疾病预防控制中心2020年3月1日 原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gce5ghi5ifj20rs0bugtw.jpg,无,无,2020-03-01 09:14,微博 weibo.com,56,4,21
IwyoU7Pp6,#阻击疫情 徐州在行动# 【2月29日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。截至2月29日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例102例。其中，轻型病例9例；普通型病例90例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例529例。其中，南京市58例、无锡市49例、徐州市71例、常州市48例、苏州市64例、南通市37例、连云港市37例、淮安市55例、盐城市27例、扬州市23例、镇江市11例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12503人，尚有130人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。（编辑X5598） 原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gce4x0qqnbj20rs0bugtw.jpg,无,无,2020-03-01 08:44,微博 weibo.com,32,6,18
Iwy6O7NZs,#徐州天气# 今天多云到阴，局部地区有时有零星小雨，偏东转偏北风4级左右，气温2℃到11℃。明天第二股冷空气专列将开始启动，届时中东部大部地区气温将下降4-5℃，局地降温6℃以上，长江以北有4-5级偏北风，其中徐州地区的最低气温也将跌至零下。  原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gcdir3k8uxj209k06nta0.jpg,无,无,2020-03-01 08:00,微博 weibo.com,5,0,0
IwxIs9WYV,#早安徐州# 三月，你好！  原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gcdior0yfgj20th188n0w.jpg,无,无,2020-03-01 07:00,微博 weibo.com,42,7,6
Iwu3inzv1,#阻击疫情 徐州在行动# 再加把劲！  原图 ,,http://wx2.sinaimg.cn/large/d17838b9gy1gcdlpcvd35j20u01hcjwr.jpg,无,无,2020-02-29 21:40,360安全浏览器,18,5,6
IwtIQrZSE,"#阻击疫情 徐州在行动#【专机+专车！徐州地铁3号线接民工返岗】近日，中建一局徐州地铁3号线上盖项目采用“定制化”专机+专车方式，通过补贴指定航班机票、专车接送方式帮助农民工安全返岗复工。项目部通过严格摸排返岗农民工信息，掌握务工人员行程动态，以大额补贴形式，为农民工集中购买机票，并安排专车在机场接机，实现无缝对接帮助农民工顺利、安全复工。项目返岗专车实行工人隔位、分散就坐，即使隔着口罩，也能感觉出农民工浓浓的欣喜之情。“机票都有补贴，比我们做火车还便宜，车上都消毒了我们也放心，家里人也放心,”，从云南返岗的木工李国红说。（编辑W9878）目前，经徐州市各级单位批准，施工现场已达到复工标准。中建一局徐州地铁3号线上盖项目桩基工程已完成98%，主体结构完成60%。春风送暖、情满旅途，徐州地铁3号线上盖项目现已统筹安排项目全面复工工作，力争2020年复工复产双胜利。 [组图共2张] 原图 ",,"http://ww3.sinaimg.cn/large/d17838b9gy1gcdhxm0kf0j20m80godhx.jpg,http://ww2.sinaimg.cn/large/d17838b9gy1gcdhxjbzn4j20m80gomz7.jpg",无,无,2020-02-29 20:50,微博 weibo.com,37,4,2
IwsS8hoIf,#阻击疫情 徐州在行动#【他，冲锋在最危险的核心区！】“疫情面前，人民的利益高于一切，疾控人冲锋在前，责无旁贷！”这是徐州市疾病预防控制中心疾控科科长毕俊在抗疫一线常说的一句话。从1月至今，在这场新冠肺炎疫情阻击战中，他持续奋战在调查与处置一线。#战“疫”先锋#（编辑W9878）  原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gcdghv2r4pj20dc1ujk8t.jpg,无,无,2020-02-29 18:40,360安全浏览器,29,1,3
IwsduDUFc,#阻击疫情 徐州在行动# 【#回家后身上哪里最需要清洁消毒#？9图告诉你】#外出回家后需要专门洗头吗#？需要对衣服进行处理吗？口罩、钥匙、购物袋，这些细节你注意过吗？戳图了解↓↓转存！ （编辑X5598）  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjh04xj20j60j6mz5.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjhfksj20j60j6gnt.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjhshzj20j60j6dhk.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gcd9tjhw8qj20j60j6wgi.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjjnquj20j60j6dho.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjj8auj20j60j6mz0.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gcd9tjn8a6j20j60j6mz8.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9tjoi3ej20j60j6401.jpg,http://ww1.sinaimg.cn/large/d17838b9gy1gcd9tjnn7wj20j60j6abi.jpg",无,无,2020-02-29 17:00,微博 weibo.com,5,8,0
IwrQCyauD,#夺取双胜利 我们在行动#【夺取双胜利 我们在行动 | 听，江苏各地奏响复工复产“协奏曲”】随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，蹄疾步稳推进经济发展，奏响了复工复产的“协奏曲”。今天，我们聚焦苏州和宿迁的复工情况，一起来看→http://t.cn/A67VvcWm 原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gcdbzjqt7jj20hs0vk0za.jpg,无,无,2020-02-29 16:03,微博 weibo.com,9,2,0
IwrsOiZEk,【#中国世卫组织联合考察报告发布#：新冠病毒是一种动物源性病毒】据国家卫健委官网，《中国-世界卫生组织新型冠状病毒肺炎（COVID-19）联合考察报告》发布：①#新冠病毒中间宿主尚未查明#；②中国新冠肺炎的人际传播主要在家庭中发生；③#新冠肺炎病毒几乎人人易感#，感染后是否具有免疫力需进一步研究；④#患者感染后平均5-6天出现症状#，多数为轻症病可痊愈，重症和死亡高危人群为年龄60岁以上。http://t.cn/A67cfEDi [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/d17838b9gy1gcd9rjykryj20ep0jkdg1.jpg,http://ww3.sinaimg.cn/large/d17838b9gy1gcd9rjzj6cj20i90ohq4z.jpg",无,无,2020-02-29 15:05,微博 weibo.com,7,2,0
IwrqR90tW,#“助力疫情防控，奉献网络力量”大家谈# 【有些治愈患者“复阳” 还会有传染性吗？】继成都一名治愈患者出院10天核酸检测阳性之后，近日，广东省出现14%出院患者“复阳”的情况，再次引发社会关注。近日，徐州市也出现一例出院患者“复阳”情况，很多市民有类似疑惑：为何有康复患者核酸复检会出现阳性？出院“复阳”患者到底会不会还有传染性？治愈出院“复阳”是怎么回事？治愈的标准是什么呢？了解的多了，就不会恐慌↓↓↓（编辑X5598） http://t.cn/A67cdflh ,,无,无,无,2020-02-29 15:00,微博 weibo.com,14,5,2
IwrkXjXfD,#“助力疫情防控，奉献网络力量”大家谈# 【#中国世卫组织联合考察报告发布# 】中国和世卫组织新冠肺炎联合考察报告写给公众的建议↓↓↓疫情防控路上，千万别松劲儿！转给更多人！Via.人民日报（编辑X5598）  原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gcd9pkzhhij20j60y3tg8.jpg,无,无,2020-02-29 14:45,微博 weibo.com,2,2,1
IwqQfrW2H,#“助力疫情防控，奉献网络力量”大家谈# 【防控不能松！！】市委书记周铁根在市委应对疫情工作领导小组会议上强调，要找准防控与发展的结合点、平衡点，两手抓、两手硬，善于变压力为动力、化危为机，加快建立与疫情防控相适应的经济社会运行秩序。经济社会是一个动态循环系统，不能长时间停摆。经过艰苦努力，徐州疫情防控工作呈现积极向好态势，生产生活秩序正在有序恢复。但是必须清醒看到，疫情形势依然严峻复杂，疫情防控仍处在最吃劲的关键阶段，经济社会发展面临很大的压力和挑战。一边是防控不能松懈，一边是发展不能停摆；一方面疫情防控不能阻碍经济社会秩序恢复，另一方面复工复产不能放松防控导致前功尽弃。关键时期出现这样的两难选择，如何解好这道两难题，出路就在两手抓、两手硬、两促进，做好统筹兼顾文章，建立与疫情防控相适应的经济社会运行秩序。越是在这种关键时期，我们越要用全面、辩证、长远的眼光看待问题，越要增强信心、坚定信心。越是在这种关键时期，我们越要从严从实抓好分区分级精准防控，一鼓作气、一抓到底，越要坚持“三主”工作总思路，坚定信心、保持定力，确保打赢这场没有硝烟的战争。疫情防控到位是有序恢复生产生活的基本前提。把压力变动力，要重点防控境内外输入性风险、复工复产聚集性风险、城市常态化运行的流动性风险，强化有效救治能力保障，强化防控体制机制保障，以严防“三大风险”、强化“两大保障”为抓手，确保疫情防控工作不断扩大战果，为经济社会运行回归正轨提供稳定的基石。有序恢复生产生活秩序是疫情防控的根本支撑。把危机化契机，要切实加强经济运行调节，用足用好近期密集出台的各种助产惠企政策，加快复工复产保运行，扩大有效需求保增长，做好政策托底保民生，强化社会治理保稳定，全力保障经济社会稳定发展的同时，着力培养发展疫情期间逆势生长的智能制造、无人配送、在线消费等新业态，生物医药、医疗设备、5G网络、工业互联网等新领域，持续加载新模式、激发新动能，充分释放消费新潜力，拓展经济高质量发展新空间，努力把疫情影响降到最低，确保实现全年发展目标任务。历史告诉我们，伟大的中华民族历来具有强大的抗压性，越是面对巨大的压力，越会迸发出强劲的发展动力。（文字：邬政 图片：徐报融媒 编辑：X5598） [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/d17838b9gy1gcd56yfb8cj20b40b4tb0.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gcd572hjknj20u00jqacp.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gcd572mx07j20u00k5jut.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gcd57c92zwj20u00kcmzx.jpg",无,无,2020-02-29 13:30,微博 weibo.com,5,2,0
IwqhthWKQ,#阻击疫情 徐州在行动# 【江苏继续推迟学生返校】根据中央应对新冠肺炎疫情工作领导小组有关会议精神，结合江苏省疫情防控实际，经研究，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构，下同）继续推迟学生返校。各级各类学校要按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，经科学评估后确定，提前一周向社会公布。各级教育行政部门和各级各类学校要据此制定实施计划，开展相关工作。来源：江苏教育发布 （编辑X5598） 原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gcd521sqb5j20p00amq46.jpg,无,无,2020-02-29 12:04,微博 weibo.com,20,4,4
IwpklEEOj,#阻击疫情 徐州在行动# 【江苏省新冠肺炎疫情风险等级名单】（截至2020年2月27日24时 来源：江苏省卫健委官网 → http://t.cn/A67tKT3t ） 编辑X5598  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/d17838b9gy1gcd0tqoa9zj20hs1gckjo.jpg,http://ww4.sinaimg.cn/large/d17838b9gy1gcd0tq883jj20hs0zr4qr.jpg",无,无,2020-02-29 09:38,微博 weibo.com,27,5,6
Iwpal8AqH,#阻击疫情 徐州在行动# 【疫情通报(39号)】2020年2月28日0-24时，我市无新增新型冠状病毒肺炎确诊病例。全市累计报告新型冠状病毒肺炎确诊病例79例(包含外省市病例1例)，其中，有轻型病例2例，普通型病例77例。目前出院病例71例。已确诊病例中，按照病例管理地区划分，鼓楼区3例，云龙区5例，贾汪区7例，泉山区5例，丰县3例，沛县7例，睢宁县31例，新沂市2例，邳州市15例，外省市病例1例。目前追踪到密切接触者2076人，已解除医学观察2030人，尚有46人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时尤其是去往人群密集的公共场所时要佩戴口罩；要勤洗手，注意饮食卫生，养成健康的生活方式。单位防护注意事项：复工复产单位要做好健康监测。单位尽量减少集体性活动。食堂要加强餐具、用具消毒，加强室内通风换气，改善室内空气质量。菜品生熟分开，容器保持清洁干燥。职工就餐时提倡错峰就餐，尽量不堂食，排队及就餐时要保持一定的距离。徐州市疾病预防控制中心2020年2月29日（编辑X5598） 原图 ,,http://wx4.sinaimg.cn/large/d17838b9gy1gcczwjp2snj20rs0bugtw.jpg,无,无,2020-02-29 09:14,微博 weibo.com,62,5,32
IwoXUdBwW,#阻击疫情 徐州在行动#【2月28日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月28日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例13例。截至2月28日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例112例。其中，轻型病例9例；普通型病例100例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例519例。其中，南京市58例、无锡市48例、徐州市71例、常州市48例、苏州市62例、南通市37例、连云港市35例、淮安市55例、盐城市27例、扬州市19例、镇江市10例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12443人，尚有190人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。（编辑W9878） 原图 ,,http://wx1.sinaimg.cn/large/d17838b9ly1gccz9cj9boj20rs0bugmj.jpg,无,无,2020-02-29 08:43,iPhone X,28,1,20
Iwou80zaC,#徐州天气# 今天白天多云，早晨局部地区有雾，偏东风3到4级，气温3℃到11℃。3月1日多云到阴，偏东转偏北风4级左右，气温3℃到13℃。  原图 ,,http://wx2.sinaimg.cn/large/d17838b9gy1gcc83blqvtj20rs0budir.jpg,无,无,2020-02-29 07:30,微博 weibo.com,2,2,1
Iwo5M0OZC,#早安 徐州# @徐州人，别松劲，再坚持！早！  原图 ,,http://wx1.sinaimg.cn/large/d17838b9gy1gccix6e8zlj20tw1avx6q.jpg,无,无,2020-02-29 06:30,微博 weibo.com,44,6,13
Iwl97AqoY,#晚安徐州# 人生很长，愿你勇敢又强大！晚安，小伙伴们~  原图 ,,http://wx2.sinaimg.cn/large/d17838b9gy1gcc81lyfo0j20zk0k0jwc.jpg,无,无,2020-02-28 23:00,微博 weibo.com,24,3,7
IwkL0odx0,#阻击疫情 徐州在行动# 【庄兆林主持召开市新冠肺炎疫情防控应急指挥部视频会议】今天下午，市长、市新冠肺炎疫情防控应急指挥部总指挥庄兆林主持召开视频会议。市委常委、宣传部部长冯其谱，市委常委、常务副市长王剑锋，副市长李燕、王巧全、徐东海、毕于瑞等出席会议。 庄兆林主持召开市新冠肺炎疫情防控应急指挥部视频会议  ,,无,无,无,2020-02-28 22:00,微博 weibo.com,3,2,0
IwkKLChWn,【国家卫健委：#血浆治疗取得较好效果#】28日，国务院联防联控机制召开发布会。截至目前，已经在#全国采集544人次的血浆#用于245例患者的临床治疗，在患者临床的治疗过程当中，根据对超过48小时共157例患者的监测，这157例患者当中，有91例患者的一些临床指标和症状都有改善。国家卫健委医政医管局监察专员郭燕红表示，大量的临床研究实践证明，新冠肺炎康复者的血浆能够通过特异性抗体来中和新冠病毒，在利用康复者恢复期血浆治疗过程当中，取得了比较好的效果，其安全性和有效性得到了公认。 原图 ,,http://wx3.sinaimg.cn/large/d17838b9gy1gcc7z78eouj20fa0a6mxm.jpg,无,无,2020-02-28 22:00,微博 weibo.com,12,4,0
