微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwzDnfsfO,【盐通铁路复工抢抓生产进度】日前，盐通铁路三标段东台特大桥作业现场，佩戴口罩的工人进入线上底座板施工区，在各自的岗位上有序忙碌。中铁十一局盐通铁路项目部的外地职工在经过了14天的自我隔离和核酸检测合格后，进入工地施工。该项目部一手抓疫情防控、一手抓生产进度，利用晴好天气抢抓工期，争取最大限度减少疫情带来的影响。 [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/005YGkF1gy1gce93n68pxj30kr0dqh80.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gce93n3lt0j30km0bjh4i.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gce93n4ij0j30ko0bhngj.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gce93nap8uj30kg0dgnam.jpg",无,无,2020-03-01 11:53,微博 weibo.com,14,0,9
IwzpYATHe,【盐城汽车客运北站恢复部分县际及乡镇班车运营】3月1日，盐城汽车客运北站（白马车站）恢复部分县际及乡镇班车运营。具体班次休息为：1.市区至射阳以及阜余、陈洋、射阳盐场；2.市区至阜宁、合利；3.市区至滨海以及北坍、五汛、正红、振东、滨海港、滨淮农场；4.市区至响水以及黄圩、陈家港、大有；5.市区至建湖、辛庄；6.市区至盘湾。乘客可以关注“巴士管家”微信小程序，或拨打客运北站电话：89919899咨询相关情况。 ,,无,无,无,2020-03-01 11:20,微博 weibo.com,7,0,1
Iwzlw4TfQ,【盐城高铁站恢复开行重庆贵阳石家庄动车】今天（３月１日）起，盐城高铁站恢复开往重庆西、贵阳北、石家庄的动车，经停盐城高铁站和始发终到的列车增至21趟。　　其中，开行普速列车为：南通开北京Z52次；南京开T7772次、T7776次，盐城开T7775次、T7771次；哈尔滨西开Z155次，泰州开Z156次；兰州开K417次，泰州开K418次；盐城开徐州K8600次。　　开行动车为：北京南开盐城G1569次，G481次；沈阳开G2631次，盐城开G2632次；徐州东开D5669次、D5675次，盐城开D5672次、D5678次；盐城开石家庄G2060次；重庆西开盐城G2681次；贵阳北开盐城G2687次。 ,,无,无,无,2020-03-01 11:09,微博 weibo.com,6,0,1
Iwz6UFiOQ,【#超4万名患者治愈出院#！#治愈出院患者占累计确诊病例过半#】据国家卫健委通报的数据，截至2月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，累计治愈出院病例41625例，累计报告确诊病例79824例。累计治愈出院病例数占累计确诊病例的52.1%，占比超过半数。  原图 ,,http://wx4.sinaimg.cn/large/005YGkF1gy1gce81u2f4gj30j60weq6b.jpg,无,无,2020-03-01 10:33,专业版微博,4,0,0
IwySaojwn,【#31省区市新增573例新冠肺炎# ，#31省区市累计报告79824例新冠肺炎#】2月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例573例，新增死亡病例35例（湖北34例，河南1例），新增疑似病例132例。　　当日新增治愈出院病例2623例，解除医学观察的密切接触者8620人，重症病例减少299例。　　截至2月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例35329例（其中重症病例7365例），累计治愈出院病例41625例，累计死亡病例2870例，累计报告确诊病例79824例，现有疑似病例851例。累计追踪到密切接触者660716人，尚在医学观察的密切接触者51856人。　　湖北新增确诊病例570例（武汉565例），新增治愈出院病例2292例（武汉1675例），新增死亡病例34例（武汉26例），现有确诊病例32959例（武汉27700例），其中重症病例7107例（武汉6393例）。累计治愈出院病例31187例（武汉19227例），累计死亡病例2761例（武汉2195例），累计确诊病例66907例（武汉49122例）。新增疑似病例64例（武汉50例），现有疑似病例646例（武汉393例）。　　累计收到港澳台地区通报确诊病例144例：香港特别行政区95例（出院33例，死亡2例），澳门特别行政区10例（出院8例），台湾地区39例(出院9例，死亡1例)。 原图 ,,http://wx4.sinaimg.cn/large/005YGkF1gy1gce7001qsfj30hs0vkgnb.jpg,无,无,2020-03-01 09:56,专业版微博,2,1,0
IwyCw1ERB,【防疫发展两手硬】——射阳、亭湖重大项目集中开工http://t.cn/A67MWDj3盐城各地各部门按照中央和省市委决策部署，一手抓防控、一手抓发展，坚持两手抓两手硬，统筹做好疫情防控和经济社会发展工作。射阳县2月29日，射阳县举行全县工业项目集中开工活动，七彩国虹无线充电设备、天谷数字二期等16个重大项目集中开工，涵盖电子信息、新材料、高端纺织等多个领域。这次集中开工的重大项目中，七彩国虹无线充电设备项目，总投资5亿元，设备投资2.6亿元，定位5G、6G通讯，生产移动无线充电设备、芯片封测、移动电源等智能产品，为华为、小米、传音等大型企业配套，项目全部竣工投产后，年可生产3000万台（套）消费类电子产品。一手抓防控疫情，一手抓经济发展。该县按照省市标准，制定出台《全县工业企业复工及疫情防控工作方案》，明确开复工时间节点、验收主体和程序等相关要求，组织班子赴镇区现场指导，推动企业自行组织复工，能开尽开、应复尽复。截至2月28日，全县复工企业累计1347家，复工面90.52%，复工人数38910人；其中规上企业316家，复工面97.53%，复工人数21941人。加快重大项目建设。对62个市县“两重”项目实行一名牵头领导、一套工作班子、一张开竣工时间表、一份安全责任书推进机制，全过程帮办、全过程服务。目前，列省重大项目的华能远景海上风电装备基地已复工，列市18个“两重”项目已复工13个。招商引资不停步、不减速。该县开展“线上招商”，推行“不见面招商”，实现招商引资良好开局。今年以来，全县通过电话、微信、邮件等方式联系客商90余家，新签约项目37个，其中亿元以上项目24个，仅2月份通过云招商签约项目11个。精准服务帮助企业渡过难关，扎实开展“送政策、送指导、送服务”活动，238名科级干部点对点挂钩服务企业，面对面帮助协调解难。多部门出台落实市惠企20条新政细化措施，开展“招老乡、回故乡、建家乡”活动，通过线上“e就业”网络招聘和线下镇区送岗上门服务，已有3042名返乡务工人员实现家门口就业。组织市县金融机构镇区行，举办重点园区银企对接活动6场，为64家企业新增授信2.69亿元，为103家企业办理续贷4.7亿元，为42家企业新增投放1.34亿元，有效解决企业融资需求。亭湖区2月26日上午，亭湖区举行“两重一实”项目集中开工活动，12个项目总投资近26亿元。此次集中开工展现了该区项目建设的阶段性成果，彰显了该区奋力夺取疫情防控和经济社会发展“双胜利”的信心和决心。据了解，本次集中开工的项目涵盖环保科技、光电信息、高端装备等多个领域，年度计划投资15.9亿元。其中在环保科技城主会场开工的、江苏中海华核环保有限公司投资2亿元建设的乏燃料容器研发及制造项目，占地50亩，购置精加工设备、焊割设备、焊接设备等设备122台（套），项目建成后，可形成年产160吨×20台（套）乏燃料容器的能力，形成具有科研自主知识产权的工艺技术，可实现年销售2亿元。总投资5亿元的环保高端水处理膜及组件研发和制造、总投资5亿元的高性能锂电池等11个项目分别在分会场举行开工仪式。开工项目中有6个项目总投资额达到或超过2亿元，投资规模大，发展前景好，产业关联度高，具有很强的示范带动作用。近年来，亭湖区始终聚焦高质量发展的根本要求，扎实走好“两海两绿”路径，深入实施“五双”战略，全力实现“四个打造”，以项目工地为擂台阵地，以项目进度为标准尺度，一批重大产业项目纷纷落户、竞相发展，成为全区高质量发展的强引擎。面对当前新冠肺炎疫情的严峻局势，该区将抓实抓好项目建设作为对冲疫情影响的突破口、鼓舞发展信心的“振奋剂”、实现全年目标的“动力源”，在扎实做好疫情防控的基础上，积极落实好省、市、区各项惠企政策，强化时间意识、效率意识，抢抓当前黄金施工期，精准帮助解决项目推进中的实际困难，以最优服务、最大支持、最强保障，确保项目建设全程“零障碍”，力争项目早竣工、早投产、早达效。 ,,无,无,无,2020-03-01 09:18,专业版微博,5,3,0
IwyAwb0Nb,【科普】眼镜起雾怎么办？耳朵痛如何缓解？长时间戴口罩9大困扰全解决【科普】眼镜起雾怎么办？耳朵痛如何缓解？长时间戴口罩9大困扰全解决  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/005YGkF1gy1gce5qoer0ag30hs0n3e82.gif,http://ww4.sinaimg.cn/large/005YGkF1gy1gce5qokcsng30hs0n3qv5.gif,http://ww2.sinaimg.cn/large/005YGkF1gy1gce5qoa13nj30j60owdlc.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gce5qo7n9uj30j60ow7ak.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gce5qo5b4qj30j60owjwh.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gce5qo9en1j30j60owq7u.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gce5qoggtzj30j60owtdm.jpg,http://ww3.sinaimg.cn/large/005YGkF1gy1gce5qogy64j30j60owjws.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gce5qoiw8hj30j60owdlf.jpg",无,无,2020-03-01 09:13,专业版微博,4,1,0
IwyvVE2Mi,【2月29日江苏无新增新型冠状病毒肺炎确诊病例】2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。截至2月29日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例102例。其中，轻型病例9例；普通型病例90例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例529例。其中，南京市58例、无锡市49例、徐州市71例、常州市48例、苏州市64例、南通市37例、连云港市37例、淮安市55例、盐城市27例、扬州市23例、镇江市11例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12503人，尚有130人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 ,,无,无,无,2020-03-01 09:01,专业版微博,16,1,5
Iwufpx8P7,【明天起，这些新规将影响你的生活】明天，我们将迎来春暖花开的3月，又有一批新法新规将正式实施：小规模纳税人可免、减增值税，多项交管业务网上办，个税年度汇算开始，新《证券法》施行……这些新规与你有关↓↓↓明天起，这些新规将影响你的生活  ,,无,无,无,2020-02-29 22:10,360安全浏览器,5,0,1
IwtiTsYCh,【盐城·静待花开】无论是守护家园，还是驰援湖北，无论是防控疫情，还是复工复产，大家都在做对的事。等风雨经过，让时光变好。  盐城发布的微博视频  ,,无,无,无,2020-02-29 19:46,微博视频号,35,14,4
IwtiHErQf,【#防疫发展两手硬# 】韩企在盐城④——江苏高特汽车配件有限公司  原图 ,,http://wx2.sinaimg.cn/large/005YGkF1gy1gcdiegp9tmj30hs0yqnpd.jpg,无,无,2020-02-29 19:45,微博 weibo.com,12,0,0
Iwtaw0p4X,#夺取双胜利 我们在行动#【夺取双胜利 我们在行动 | 听，江苏各地奏响复工复产“协奏曲”】随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，蹄疾步稳推进经济发展，奏响了复工复产的“协奏曲”。今天，我们聚焦苏州和宿迁的复工情况，一起来看→ http://t.cn/A67VvcWm 原图 ,,http://wx2.sinaimg.cn/large/005YGkF1gy1gcdhtggy8vj30hs0vk0za.jpg,无,无,2020-02-29 19:25,专业版微博,8,0,0
Iwsqtw86o,【干货转存！#疫情防控期间各科医生的100条建议#】眼科患者、心内科患者、准妈妈……疫情防控期间不同人群看病都有哪些注意事项？各科医生的100条建议↓↓转给需要的人！  [组图共11张] 原图 ,,"http://ww4.sinaimg.cn/large/005YGkF1gy1gcdbw3jhk3j30j60rtdj1.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcdbw3i9t4j30j60qp776.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcdbw3fx7rj30j60yk0xn.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcdbw3ix3zj30j60q2q5i.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcdbw3g6pjj30j60q9q5o.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcdbw3hoe9j30j60t6adl.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gcdbw7pzigj30j60oy0va.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcdbw7o8kuj30j60omgo8.jpg,http://ww4.sinaimg.cn/large/005YGkF1gy1gcdbw7oqy3j30j60nq0v5.jpg,http://ww2.sinaimg.cn/large/005YGkF1gy1gcdbwbs5e2j30j60ougnw.jpg,http://ww3.sinaimg.cn/large/005YGkF1gy1gcdbwbsj68j30j60qmacv.jpg",无,无,2020-02-29 17:32,微博 weibo.com,6,1,1
IwrJoB7t2,【江苏继续推迟学生返校】据@江苏教育发布 消息：根据中央应对新冠肺炎疫情工作领导小组有关会议精神，结合我省疫情防控实际，经研究，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构，下同）继续推迟学生返校。各级各类学校要按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，经科学评估后确定，提前一周向社会公布。各级教育行政部门和各级各类学校要据此制定实施计划，开展相关工作。 ,,无,无,无,2020-02-29 15:45,专业版微博,8,0,2
IwrrajqbD,【#26省区市新增病例为0#】28日0-24时，天津、河北、山西、辽宁、吉林、黑龙江、上海、江苏、浙江、安徽、福建、江西、山东、河南、广西、海南、重庆、四川、贵州、云南、西藏、青海、新疆（含兵团）新增确诊病例为0。28日8时-29日8时，陕西新增确诊病例为0；27日20时-28日20时，甘肃新增确诊病例为0；28日7时-29日7时，内蒙古新增确诊病例为0。 原图 ,,http://wx2.sinaimg.cn/large/005YGkF1gy1gcda65jrnpj30ke0yg42v.jpg,无,无,2020-02-29 15:01,iPhone客户端,8,0,0
IwqfJ8qWj,【去年我市城乡居民人均工资性收入16777元】据国家统计局盐城调查队住户调查资料显示，2019年盐城城乡居民人均工资性收入为16777元，同比增长9.0%，工资性收入占总可支配收入的比重为52.3%，拉动可支配收入增长4.7个百分点，对收入增长的贡献率为53.4%，工资性收入不仅是城乡居民收入的主要来源，也是收入增长的主要动力。2019年全市规模以上服务业企业职工薪酬同比增长7.5%，人均月薪酬比上年增加447元，同比增长8.4%。　　另外，调查数据还显示：2019年盐城城乡居民人均经营净收入7460元，同比增长7.0%，占可支配收入的比重为23.2%，在四大项收入中占比位居第二，拉动可支配收入增长1.7个百分点，对收入增长的贡献率为18.8%。按常住地分，城镇常住居民人均经营净收入7490元，同比增长7.3%；农村常住居民人均经营净收入7417元，同比增长6.9%。 ,,无,无,无,2020-02-29 12:00,微博 weibo.com,11,2,16
IwpLGjoUW,【盐城汽车客运站恢复7个市际班车】今天起，盐城汽车客运站恢复泰兴、启东、扬州、溧阳、泗洪、宿迁、兴化等车站的市际班车。此外，盐城汽车客运北站（白马车站）将于3月1日恢复站务作业，盐马路车站和盐城汽车客运西站恢复站务作业时间待通知。　　具体发班时刻——泰兴：8:25、12:55，启东：7:35、12:50，扬州：9:00，溧阳：12:50，泗洪：12:50，宿迁：13：50，兴化：7:55、9:15、11:10、13:20、14:40、16:20。　　截至28日，盐城汽车客运站已恢复苏州、常州、南京（含南京南站）、南通、镇江、常熟、无锡、张家港、江阴、泰州、太仓、昆山、戴南等市际班车，往东台、大丰、射阳、建湖、阜宁、滨海、响水的县际班车全部开通。 ,,无,无,无,2020-02-29 10:46,微博 weibo.com,8,0,0
IwpHtpUn0,【盐城高铁站29日开行车次增至18趟】2月29日，经停盐城高铁站和始发终到的列车增至18趟。其中，开行普速列车为：北京开Z51次、盐城开Z52次；南京开T7772次、T7776次，盐城开T7775次、T7771次；哈尔滨西开Z155次，泰州开Z156次；兰州开K417次，泰州开418次。　　开行动车为：北京开G1569次，盐城开G1570次；沈阳开G2631次，G2632次；徐州东开D5669次、D5675次，盐城开D5672次、D5678次。 ,,无,无,无,2020-02-29 10:35,专业版微博,4,1,0
IwpjwhNfz,【#湖北以外新增病例4例#，#湖北以外新增病例连续两天个位数#】据国家卫健委数据统计，2月28日0—24时，湖北以外30个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例4例。  原图 ,,http://wx3.sinaimg.cn/large/005YGkF1gy1gcd0so3z4ij30j60vftat.jpg,无,无,2020-02-29 09:36,专业版微博,7,0,1
IwpiWf674,【#全国连续17天治愈出院超千人#】据国家卫健委通报，2月28日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团新增治愈出院病例2885例。截至2月28日24时，全国#累计治愈出院病例39002例#。  原图 ,,http://wx4.sinaimg.cn/large/005YGkF1gy1gcd0rc2qczj30j60we0w3.jpg,无,无,2020-02-29 09:35,专业版微博,4,0,0
Iwpfj40Iw,【#31省区市新增427例新冠肺炎# ，#31省区市累计报告79251例新冠肺炎#】2月28日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例427例，新增死亡病例47例（湖北45例，北京1例，河南1例），新增疑似病例248例。　　当日新增治愈出院病例2885例，解除医学观察的密切接触者10193人，重症病例减少288例。　　截至2月28日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例37414例（其中重症病例7664例），累计治愈出院病例39002例，累计死亡病例2835例，累计报告确诊病例79251例，现有疑似病例1418例。累计追踪到密切接触者658587人，尚在医学观察的密切接触者58233人。　　湖北新增确诊病例423例（武汉420例），新增治愈出院病例2492例（武汉1726例），新增死亡病例45例（武汉37例），现有确诊病例34715例（武汉28836例），其中重症病例7370例（武汉6585例）。累计治愈出院病例28895例（武汉17552例），累计死亡病例2727例（武汉2169例），累计确诊病例66337例（武汉48557例）。新增疑似病例159例（武汉114例），现有疑似病例1171例（武汉788例）。　　累计收到港澳台地区通报确诊病例138例：香港特别行政区94例（出院30例，死亡2例），澳门特别行政区10例（出院8例），台湾地区34例(出院9例，死亡1例)。 原图 ,,http://wx4.sinaimg.cn/large/005YGkF1gy1gcd0i0dq73j30hs0vkgnb.jpg,无,无,2020-02-29 09:26,专业版微博,5,1,1
Iwp2xogCU,【如何正确使用额温枪？一图读懂】目前，全国复产复工正在有序展开。每天上下班、进出小区，工作人员都会使用额温枪对我们进行体温测量，额温枪也变成了每天必经的战“疫”防线。有网友说，有的工作人员测额头，有的测手腕，也有网友反映说额温枪总是测不准，忽高忽低。那么额温枪究竟是如何工作的？该如何正确使用额温枪呢？小编来给你解答。 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/005YGkF1gy1gcczkomx67j30jg1o2dk6.jpg,http://ww3.sinaimg.cn/large/005YGkF1gy1gcczkokzxmj30jg0vognw.jpg,http://ww1.sinaimg.cn/large/005YGkF1gy1gcczkomqhej30jg17ddid.jpg",无,无,2020-02-29 08:54,专业版微博,3,1,0
