微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwjmr3OcC,【陈金虎检查文化和旅游经营场所疫情防控和复工复产情况】昨天，代理市长陈金虎实地检查我市部分文化和旅游经营场所疫情防控和复工复产情况。他指出，要坚决落实中央、省和市委决策部署，分区分级精准推进防控措施，抓细抓实各项基础工作，稳步推进文化和旅游经营场所有序开放。    中华恐龙园是集科普、游乐、演艺、住宿、购物于一体的一站式旅游度假区，开业至今累计接待游客近6000万人次。陈金虎详细了解园区疫情防控、开园准备、发展规划等方面情况，要求园区在落实好疫情防控和安全生产防范各项措施的基础上，逐步有序开放，合理控制每天的游客接待量。同时，进一步丰富旅游产品、拓展消费空间、提升集聚效应，擦亮中华恐龙园这一城市名片。    东坡公园从本月24日起实行有序开放，对入园市民、游客进行体温检测、登记管理，实施人流量实时控制。陈金虎要求公园进一步落实好“健康码”使用，引导游客凭码入园，同时要加强与有关部门、街道和社区联动，做好疫情联防联控和应急处置工作。    江苏华怡明都酒店管理有限公司是常州市旅游协会会长单位。陈金虎来到公司旗下的金陵明都大饭店，仔细查看并询问疫情防控措施落实与酒店经营情况。他希望旅游协会充分发挥桥梁纽带作用，积极宣传国家、省、市出台的系列惠企助企稳企政策，引导会员企业在自觉落实疫情防控主体责任的同时，进一步坚定信心、稳定队伍、练好内功，以多种方式弥补疫情造成的损失，全力冲刺年度目标任务。    陈金虎还来到运河五号创意街区实地调研，详细了解街区疫情防控与运营管理情况。他指出，当前疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段，文化和旅游经营场所人员聚集性强、流动性大，各地各相关部门要按照分区分级、精准防控的要求，严格开放条件和范围，严格履行开放审批程序，切实加强监督指导。各文旅经营单位要进一步落细落实防控措施，建立健全应急预案，强化内部管理，控流量、防聚集、严防护。要牢牢把握旅游消费升级、文旅融合发展趋势，提前谋划好旅游新产品、新业态和新活动，为疫情结束后旅游市场复苏做好思想、产品、工作上的充分准备。    副市长陈正春和市政府秘书长杭勇参加检查。 ,,无,无,无,2020-02-28 18:27,专业版微博,1,0,0
IwhWvvivC,【#夺取双胜利 我们在行动# | 蹄疾步稳 迈进复工复产的“春天里”】时不我待，随着全国各地 陆续进入“复工进行时”，江苏也在持续发力。江苏企业复工情况全国领先，政企同心、多方努 力，蹄疾步稳推进经济发展，迈入复工复产的春天里。今天，我们聚焦常州、泰州和淮安的复工 情况，一起来看→http://t.cn/A67GhCAB 原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gcc457w5fwj20hs0vkwl5.jpg,无,无,2020-02-28 14:50,搜狗高速浏览器,2,0,2
IwhUaaFCH,【常州汽车客运站3月1日恢复南京禄口机场班线】3月1日起，常州汽车客运站正式恢复南京禄口机场班线，常州国际机场班线增至15班。南京禄口机场班线车每日往返6班，旅客需在常州城市候机楼上车（常州汽车站二楼），具体班次为：常州汽车站始发8:35、11:10、14:10；南京䘵口机场返程13:30、14:45、18:15。（咨询热线：0519-88110710） ,,无,无,无,2020-02-28 14:44,搜狗高速浏览器,6,3,0
IwhJZiwfG,【国家统计局：2019年末全国大陆总人口140005万人】国家统计局今天发布的公报显示：2019年末全国大陆总人口140005万人，比上年末增加467万人。2019全年出生人口1465万人，出生率为10.48‰；死亡人口998万人，死亡率为7.14‰；自然增长率为3.34‰。  原图 ,,http://wx3.sinaimg.cn/large/9bf793c7gy1gcc3d7zpotj20j60j6ta7.jpg,无,无,2020-02-28 14:19,搜狗高速浏览器,1,0,0
IwgtoCBtQ,"【常州医务工作者可享免费乘坐常州地铁】今天，常州地铁与市卫健委联合面向本市医务工作者推出免费乘坐常州地铁活动，我市医务工作者（在本市具有医、药、护、技等职业资格的人员）可以向工作单位工会或管理单位进行报名,免费乘坐日期为2020年3月1日至2020年12月31日。常州医务工作者可享免费乘坐常州地铁  ",,无,无,无,2020-02-28 11:06,搜狗高速浏览器,23,2,1
IwgqCl2HM,【3月2日起，第二批新增部分常州公交开始营运】为积极应对我市企业复工复产通勤和群众基本出行需求，根据疫情防控情况，常州公交将于3月2日起，对公交运营进行调整。调整后新增恢复线路：K1路、H3路、H4路、11路、15路、18路、22路、23路、31路、35路、47路、50路、57路、68路、69路、78路、319路，共17条线路全线运营。新增恢复局部路段运营：328路（东安公交枢纽-花园汽车站）。服务时间为运营线路的首班发车时间为上午6:00，末班时间为下午6:00。发车间隔为上午6:00-9:00，下午4:30-6:00，发车间隔为30分钟，其他时间发车间隔为60分钟。此外，B1路工作日早晚高峰发车间隔加密为8分钟，B2路、B23路工作日早晚高峰发车间隔加密为15分钟。线路将根据客流情况，适时加密早晚高峰发车间隔。乘客乘车必须配合工作人员测量体温，并全程正确佩戴口罩，有条件分散落座。 ,,无,无,无,2020-02-28 10:59,搜狗高速浏览器,11,4,19
IwgoEAz3L,【市四套班子领导为支持疫情防控工作捐款】近日，市委发出通知，要求全市各级党组织认真贯彻中央和省委要求，做好党员自愿捐款指导服务，支持新冠肺炎疫情防控工作。昨天，响应党中央对广大党员的号召，市委书记齐家滨，市委副书记、代市长陈金虎等市四套班子领导为支持新冠肺炎疫情防控工作捐款。  ,,无,无,无,2020-02-28 10:54,搜狗高速浏览器,2,1,0
IwfZodj8h,【中国疾控中心提示：消毒剂正确使用方法】消毒剂使用五加强七不宜包含哪些？醇类、含氯、含碘、含溴、酚类...各类消毒剂该如何使用？戳图了解↓↓（疾控科普）   [组图共10张] 原图 ,,"http://ww4.sinaimg.cn/large/9bf793c7gy1gcbvmalcjqj20j61uytey.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gcbvmanubvj20j62fxguh.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gcbvman9v1j20j62m0wko.jpg,http://ww4.sinaimg.cn/large/9bf793c7gy1gcbvmapm1oj20j62m545g.jpg,http://ww1.sinaimg.cn/large/9bf793c7gy1gcbvmaq8lrj20j62dygt2.jpg,http://ww3.sinaimg.cn/large/9bf793c7gy1gcbvmarznij20j61y9q9i.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gcbvmax7gcj20j62ootf0.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gcbvmb211sj20j61sdjy5.jpg,http://ww2.sinaimg.cn/large/9bf793c7gy1gcbvmb1hmcj20j61sa7ad.jpg,http://ww3.sinaimg.cn/large/9bf793c7gy1gcbvmb2jfsj20j62dd10p.jpg",无,无,2020-02-28 09:52,搜狗高速浏览器,4,1,0
Iw9ZIfm9Z,【@ 常州人 《常州市道路交通安全条例》3月1日起实施】3月1日起，《常州市道路交通安全条例》（以下简称《条例》）将正式实施，这是2015年我市获得地方性立法权后，首次颁发的道路交通安全管理的地方性法规。《条例》共八章六十六条，围绕道路通行条件、车辆管理、交通参与者管理、交通事故预防与处理，形成了立体式、闭环式道路交通安全管理体系。http://t.cn/A67yX2vE ,,无,无,无,2020-02-27 18:36,专业版微博,6,2,2
Iw9jGgAJj,【太多感动！90后#护师用画笔记录方舱医院战疫生活#】90后护师史云奇是第三批江苏援湖北医疗队成员。这些天，她用画笔记录了在武汉方舱医院战“疫”生活的点点滴滴。她说，“在方舱医院的这十多天，患者也给了他们太多感动，相信大家团结一心，艰苦的日子终将远去。”JSTV荔枝视频的秒拍视频  ,,无,无,无,2020-02-27 16:53,微博视频号,6,1,0
Iw8Qs1L5b,【钟南山：预测4月底疫情基本控制，疫情不一定发源在中国】27日，钟南山院士在广州医科大学疫情防控专场新闻通气会上表示，“根据我们团队在传统模型基础上加上影响因素，国家强力干预和春节后的回程高峰消除后，预测高峰应该在2月中接近2月底。到了2月15日，数字果然下来了。我们更接近国外权威的预测值。我们有信心，四月底基本控制。”此外，钟南山表示，对疫情的预测，我们首先考虑中国，没考虑国外，现在国外出现一些情况，疫情首先出现在中国，不一定是发源在中国。http://t.cn/A672rRon ,,无,无,无,2020-02-27 15:41,微博视频号,4,0,0
Iw8v6wG28,【市疾控中心门诊部3月2日起有序开展职业健康体检】为在做好疫情防控的同时为企业提供职业健康保障，根据市卫健委的统一部署，常州市疾病预防控制中心门诊部将于3月2日起有序开展职业健康体检服务。据悉，疫情防控期间，市疾控中心门诊部只接待用人单位预约组织的职业健康检查。在体检过程中，体检人员须遵守市疾控中心门诊部对疫情防控的相关要求，主动配合体温检测；全程正确戴口罩，不戴口罩者谢绝进入体检场所；遇到需要排队检查的项目，必须按照间隔1米以上排队的原则，遵守秩序，服从现场工作人员管理。 ,,无,无,无,2020-02-27 14:48,搜狗高速浏览器,1,1,0
Iw6kfBo31,【圩塘汽渡全面恢复正常渡运】圩塘汽渡自2月27日起恢复散客（包括摩托车、电瓶车、自行车）过渡，至此，圩塘汽渡已全面恢复正常渡运，且3月1日起，部分货车过渡实行省物价部门规定标准的半价征收优惠措施！请广大过渡旅客佩戴口罩进入渡区，并接受体温检测。  ,,无,无,无,2020-02-27 09:16,搜狗高速浏览器,5,4,8
IvZBujZLS,【常州至溧阳直达班线恢复运营】2月27日，常州汽车站恢复班次将新增2条，其中市际班线新增常州至阜宁，县际班线新增常州至溧阳。此次恢复的常州至溧阳直达班线只售“常州”、“溧阳”终点站票，日发8班，往返16班，具体班次为：常州汽车站始发至溧阳7：40、9:00、10:20、12:00、13:20、14:40、16:00、17:20，溧阳回程班次为7：30、9：00、10:20、12:00、13:20、14:40、15:50、17:00。 ,,无,无,无,2020-02-26 16:09,搜狗高速浏览器,7,2,11
IvZqmCQBR,【常州又有7人出院】今天，常州市第三人民医院又有7例新冠肺炎患者治愈出院。截至2月26日上午10时，常州市确诊的51名新冠肺炎患者中，48名患者治愈出院，治愈率94.1%。  原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gc9uhuyiagj20u01j07wh.jpg,无,无,2020-02-26 15:42,搜狗高速浏览器,93,8,22
IvXtzmcMs,【2020年冬春，1个和许多（视频）】他们的故事告诉我们：最好的告白就是别怕，有我在！2020年冬春，1个和许多（视频）  ,,无,无,无,2020-02-26 10:44,搜狗高速浏览器,5,0,0
IvWOUd3QG,#夺取双胜利 我们在行动#【国有难、召必应、战必胜！黄英姿：江苏援黄石医疗队专家的责任与担当】2月11日，江苏组建医疗支援队奔赴黄石，东南大学附属中大医院副院长、重症医学科主任医师黄英姿担任医疗救治及专家组组长。在重症救治的专业领域，黄英姿多次临危受命。再次挂帅出征，黄英姿深知，新冠肺炎患者救治是一个全新领域，在未知面前，能做的就是竭尽全力。一起来看她的故事→http://t.cn/A67P7b4x ,,无,无,无,2020-02-26 09:04,搜狗高速浏览器,8,2,1
IvWOxryMs,#交通信息32月26日，常州汽车站恢复班线新增太仓、沭阳、洪泽、扬州、响水5条班线，发班114个班次。广大旅客可通过“巴士管家”小程序查询购票。  ,,无,无,无,2020-02-26 09:03,搜狗高速浏览器,12,0,4
IvQfEpcRu,【国家重大水利工程——新孟河工程常州段复工】昨天，新孟河延伸拓浚工程奔牛水利枢纽工程现场一派繁忙景象。该工程是新孟河延伸拓浚工程干河主要控制建筑物之一，计划今年5月31日前具备验收条件。目前，新孟河其余标段工程正进入陆续复工阶段。新孟河延伸拓浚工程是国家172项节水供水重大水利工程之一，也是全省单项投资最大的水利项目，总投资97.62亿元，工程内容包括河道拓浚、堤防填筑、桥梁及水系调整工程等。 ,,无,无,无,2020-02-25 16:21,搜狗高速浏览器,16,0,0
IvQ8m1OeL,【#夺取双胜利 我们在行动#】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地在中央的统一部署安排下，科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。@微博江苏 将与江苏13个设区市发布号同步推出“夺取双胜利 我们在行动”联动发布活动。请持续关注！ 原图 ,,http://wx3.sinaimg.cn/large/9bf793c7gy1gc8phl98htj20c00kw759.jpg,无,无,2020-02-25 16:03,搜狗高速浏览器,7,0,6
IvPWCubyB,【总投资3474亿！常州297个重大产业项目集中开复工】今天上午，2020年全市重大产业项目集中开复工活动暨柳工华东基地大型智能矿山机械项目开工仪式在武进国家高新区举行。市领导齐家滨、陈金虎等出席活动。据了解，今天集中开复工共297个项目，总投资3474.1亿元，2020年计划投资794.5亿元。其中：制造业项目236个，总投资2579.8亿元；现代服务业项目51个，总投资813.4亿元；现代农业项目6个，总投资24.9亿元；生态环保项目4个，总投资56亿元。现场，市委书记齐家滨宣布，2020年全市重大产业项目集中开复工，柳工华东基地大型智能矿山机械项目开工。 原图 ,,http://wx2.sinaimg.cn/large/9bf793c7gy1gc8oni58f2j20k00dadie.jpg,无,无,2020-02-25 15:34,搜狗高速浏览器,17,1,1
IvNZO7isd,【市发改委出台意见降低阶段性用气用电成本充分释放惠企政策叠加“红利”】2月24日，市发改委出台《关于阶段性降低企业用气用电成本支持企业复工复产的通知》（常发改〔2020〕40号），明确了阶段性降低企业用气用电成本政策，其中：用气成本上，自2020年2月22日起至6月30日，非居民用管道天然气最高销售价格由现行的3.75元/立方米调整为3.36元/立方米；用电成本上，除高耗能行业用户外的，现执行一般工商业及其它电价、大工业电价的电力用户，自2020年2月1日起至6月30日止，统一按原到户电价水平的95%结算。该项政策预计可降低全市企业用能成本5.3亿元以上。 ,,无,无,无,2020-02-25 10:36,搜狗高速浏览器,2,0,0
IvIInui8V,《将项目进行到底》第一集：“接力”跑出“加速度”2014年2月7号，新春上班第一天，市行政中心龙城大厅里，气氛紧张而又严肃，一场“重大项目突破年”动员大会正在这里举行。此时，常州面对的是逼人态势：标兵继续领先、追兵相继赶超，兄弟城市大手笔投入、重大项目接连落户，而从当年列入省重大项目情况看，常州更不容乐观，尽管项目总数上有微弱优势，但是单体规模苏南五市垫底。逆势突围，刻不容缓。中共常州市委党校常州现代化理论研究中心研究员金根说：“重大项目突破年，是要解决一个重大项目从无到有的问题，把我们重大项目打造成为推动全市高质量发展，以及优化产业结构，推动产业转型升级重要引擎。”这场开春第一会，吹响了常州众志成城、凝心聚力抓项目谋发展的奋进号角。常州从2014年启动重大项目主题年活动以来，从突破到深化，从推进到提升，再从增效到攻坚，一棒接着一棒，全力跑出现代产业体系建设“加速度”。六年来，常州总投资30亿元（或3亿美元）以上的重大突破项目累计引进超80个，总投资超过4000亿元，其中总投资超100亿元（或10亿美元）项目有18个，为常州经济社会发展和产业转型升级提供了有效支撑。只争朝夕，不负韶华。常州，正瞄准“含金量”、“含绿量”、“含智量”，按下重大项目建设快进键，实干跑出创新加速度。（常州手机台，2020年2月24日） ,,无,无,无,2020-02-24 21:09,360安全浏览器,4,0,3
IvHrJ15uU,"#夺取双胜利 我们在行动#【匡时济世 大医风范——江苏担当邱海波】武汉疫情仍处在紧要关头。国家卫健委专家组成员、东南大学附属中大医院副院长、著名重症医学专家邱海波已经在武汉37天了。对于一名ICU医生而言，挽救生命，就像是闯关，每一关都走得艰辛、惊险。这37天邱海波究竟在武汉经历了怎样的""闯关""历程？同事家人眼中的他又是怎样的人？一起来看邱海波的故事→ http://t.cn/A6hDRxun@微博江苏 http://t.cn/8DemHZo 显示地图 原图 ",,http://wx3.sinaimg.cn/large/9bf793c7gy1gc7n4nu6rjj20hs0vkdka.jpg,无,http://t.cn/8DemHZo,2020-02-24 17:56,iPhone客户端,6,0,0
IvGPwAc1h,【常州汽车客运站恢复33条市际班线】2020年2月25日，常州汽车客运站将恢复市际班线33条，具体班次为：常州-东台、常州-建湖、常州-南通、常州-盐城、常州-张家港、常州-淮安、常州-连云港、常州-启东、常州-泰兴、常州-黄桥、常州-常熟、常州-金湖、常州-大丰、常州-海安、常州-海门、常州-如东、常州-如皋、常州-泰州、常州-宿迁、常州-射阳、常州-滨海、常州-盱眙、常州-泗阳、常州-泗洪、常州-扬中、常州-益林、常州-兴化、常州-无锡、常州-高邮、常州-姜堰、常州-江阴、常州-靖江、常州-涟水。 ,,无,无,无,2020-02-24 16:21,搜狗高速浏览器,35,7,27
IvF130xZQ,【常州首批3名精神卫生专业人员赶赴湖北支援】为全力支援湖北开展新冠肺炎相关的心理援助工作，根据省卫生健康委工作部署，2月24日早上8点，常州市德安医院精防科科长李洪建、精神男科主任王舟、精神科休养病区副主任柴濮政3人前往湖北支援。他们从常州集中乘车到南京汇合，加入江苏省心理援助医疗队，再随队前往武汉。这也是常州首次派出精神卫生专业人员驰援湖北。市民政局党组书记、局长王莉和市卫健委副主任蔡正茂到常州高铁站为他们壮行。 [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/9bf793c7gy1gc7ce8jzhvj21710u0hdt.jpg,http://ww3.sinaimg.cn/large/9bf793c7gy1gc7ce9h70tj21400u0e82.jpg",无,无,2020-02-24 11:44,搜狗高速浏览器,23,2,4
IvEZbuMPb,【常州又有5人治愈出院】2月24日上午10时，常州市第三人民医院又有5例确诊病例治愈出院。5位患者因出现不同程度的发热、咳嗽、肺部感染等症状送至常州定点救治医院——常州市第三人民医院进行医学隔离治疗。目前，5名患者符合国家卫生健康委新型冠状病毒肺炎确诊病例解除隔离和出院标准。  原图 ,,http://wx4.sinaimg.cn/large/9bf793c7gy1gc7c9tutglj20u01j0qq1.jpg,无,无,2020-02-24 11:40,搜狗高速浏览器,46,3,8
IvErbrgoU,【关于推迟2020年常州市高级中等学校招生考试报名时间的通知】为贯彻落实党中央、国务院和教育部以及省委省政府关于做好新型冠状病毒肺炎疫情防控工作的各项要求，切实做好疫情防控工作，保障广大考生和考务工作人员生命安全和身体健康，经研究，决定推迟2020年常州市（钟楼区、天宁区、新北区、经开区、武进区、金坛区、溧阳市）各类高级中等学校招生考试报名时间。具体报名时间将另行通知 ,,无,无,无,2020-02-24 10:16,搜狗高速浏览器,15,1,3
IvElidTJM,【常州28个项目入选省重大项目 总数列全省第二】市重大办昨天发布消息，今年，全省共确定240个省重大项目，其中实施项目220个、储备项目20个。我市负责推进的28个项目入选，项目总数及产业类项目数均位列全省第二。据悉，我市28个项目中，产业类项目22个、生态环保类2个、民生工程类2个、基础设施类2个。项目总投资1434.7亿元，年度计划259.1亿元。 ,,无,无,无,2020-02-24 10:01,搜狗高速浏览器,15,1,3
IvwgT0396,#战疫科普#【防火防盗防同事！张文宏医生金句来了】#疫情防控# 近日，上海医疗救治专家组组长张文宏提出复工3大注意事项：防火防盗防同事。企业复工依然要注意防护，比如上个人在公用电脑打喷嚏，病毒有可能通过键盘传给下个人。 新民晚报新民网的微博视频  ,,无,无,无,2020-02-23 13:29,微博视频号,3,1,3
