微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwzpqm9kS,#江苏驰援湖北#【#护目镜下最美的眼睛#，病房中最坚定的眼神】有人说，“说星星漂亮的人，是因为没有看过医护人员的眼睛。”这组影像特写，记录下了#护目镜和面罩背后#，水汽蒸腾中#医务人员坚定的眼神#。这是一组来自江苏援黄石医疗队医疗救治及专家组组长黄英姿提供的影像特写。#共同战疫# （6图）  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/a5f5fd2agy1gce9d92xc5j20g00c0gnk.jpg,http://ww4.sinaimg.cn/large/a5f5fd2agy1gce9d9ianfj20gc0c9tav.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gce9d9wav4j20m80goju2.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gce9da8n76j20m80go414.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gce9d8ryjbj20m80go779.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gce9dalsanj20m80go0vd.jpg",无,无,2020-03-01 11:18,无,9,2,5
IwyIxv7VP,#便民提示#【今起，爱车年检后不贴纸标签改电子标志！南京试点公安交管便民新措施】按照“试点先行、积极推进”原则，3月1日起，北京、天津、上海、重庆、哈尔滨、南京、杭州、宁波、等16个城市，将首批试点机动车检验标志电子化。试点期间，登记地为试点城市的机动车在当地办理机动车登记、检验、申领免检标志、补换领检验标志等业务后，都可以申领检验标志电子凭证。戳图看详细解读→ [组图共5张] 原图 ,,"http://ww1.sinaimg.cn/large/a5f5fd2agy1gce6b9jgwvj20u017w7e1.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gce6b6wz07j20u017vn6f.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gce6b85cy5j20u017vn6l.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gce6ba7xnoj20u017vahc.jpg,http://ww4.sinaimg.cn/large/a5f5fd2agy1gce6b5rnrvj20h20psaek.jpg",无,无,2020-03-01 09:33,无,3,4,5
IwyvvDjzr,#江苏疫情通报#【2月29日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。截至2月29日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例102例。其中，轻型病例9例；普通型病例90例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例529例。其中，南京市58例、无锡市49例、徐州市71例、常州市48例、苏州市64例、南通市37例、连云港市37例、淮安市55例、盐城市27例、扬州市23例、镇江市11例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12503人，尚有130人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/a5f5fd2agy1gce5dp8zxoj20fj0fh0v4.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gce5pb6a09j20iw1jt46h.jpg",无,无,2020-03-01 09:00,无,16,2,7
IwxLK09fu,#早安·江苏#【多云天气为主】今天全省阴转多云，全省东北风3级左右，今天最低温度：淮北地区4～5℃，苏南地区8～9℃，其它地区6～7℃，今天最高温度：全省11～12℃。 （图片：@斗山星辰）  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/a5f5fd2agy1gce24jx5wwj22bc1hd1kx.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gce24lionoj22bc1bfkcy.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gce24idle6j22bc1fn1kx.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gce24mwvuaj22bc1gxkcg.jpg",无,无,2020-03-01 07:08,无,12,5,4
Iwunrsysq,#夜思#千锤百炼才能出好钢，饱经风霜才能更强。晚安！  ,,无,无,无,2020-02-29 22:30,微博 weibo.com,10,3,6
Iwt32nsOo,#便民提示#【明天起！#南京禄口国际机场城际班车部分线路恢复运行#】南京禄口国际机场至周边城际班车部分线路恢复运行。目前，首批次恢复城际班车的城市有：宜兴、镇江、丹阳 、扬中、沭阳、宿迁、泰州。机场提醒各位乘客，为了您和他人的健康，乘车时请自觉佩戴口罩，否则工作人员有权阻止乘车。（@扬子晚报）http://t.cn/A67VqIRx ,,无,无,无,2020-02-29 19:07,微博 weibo.com,5,1,5
IwsO1joqC,#生活提示#【特殊时期别抠门！99%的人不知道，空调千万不能马上关…】办公室或者商场之类的公共场所，免不了需要开空调。面对疫情，空调通风系统应该如何安全、合理使用？小苏提醒大家，千万不能忽略的空调使用细节↓转发周知！荔直播的秒拍视频  ,,无,无,无,2020-02-29 18:30,微博视频号,1,1,2
IwstidkOL,【四年一度的2月29来了】为什么阳历要设置闰年呢？是因为地球公转一周，并不是365天整，而是还要多出大概6小时。如果不是每隔几年设置一个2月29日，这个误差日积月累，过不了几百年，元旦就跑到夏天去了这段视频解释得很好，来看→（来源：Dr James O'Donoghue） Steed的围脖的微博视频  ,,无,无,无,2020-02-29 17:38,微博视频号,11,20,1
IwrUpvIgx,#江苏驰援湖北#【南师大教授自驾赴武汉加入“十三太保” 他们研制的“神器”让病毒灰飞烟灭】在武汉火神山医院，有一台可以让病毒分分钟“灰飞烟灭”的“神器”，它已经在这儿开工一周了。几天前，“神器”的研发成员之一，南京师范大学王风贺教授“一人成队”自驾急赴武汉，为的就是陪它到火神山医院火速动工。王风贺介绍，这台“神器”就是移动式医疗废物应急焚烧车，它工作起来相当于一个“小型焚烧厂”，一个小时能焚烧4桶240升装的医疗垃圾，而且安全、高效、机动。这台车并非应对此次疫情专门打造的，十年前第一代样车就存在了，之前处于备战状态，这次“转正”，终于有了用武之地。（@扬子晚报）http://t.cn/A67cb06x http://t.cn/A67q5k83 ,,无,无,无,2020-02-29 16:13,微博视频号,34,3,3
IwrE1jEDM,#夺取双胜利 我们在行动#【夺取双胜利 我们在行动 | 听，江苏各地奏响复工复产“协奏曲”】随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，蹄疾步稳推进经济发展，奏响了复工复产的“协奏曲”。今天，我们聚焦苏州和宿迁的复工情况，一起来看→ http://t.cn/A67VvcWm 原图 ,,http://wx1.sinaimg.cn/large/a5f5fd2agy1gcdb38m3bvj20hs0vkgwb.jpg,无,无,2020-02-29 15:32,无,7,15,6
IwruQbVCl,#共同抗疫##江苏友城来打call#【我们的心与你同在！】新冠肺炎疫情发生以来，江苏众多国际友城发来驰援讯息。继26日澳大利亚维多利亚州发来慰问视频后，英国埃塞克斯郡也专门录制视频，为中国战“疫”中的全球担当点赞，表示将与中国人民携手并肩、共克时艰。埃塞克斯郡常务副郡长凯文·本特雷和国际部主任彼特·马宁也对江苏抗击疫情的情况表示关切和慰问。“在这个特殊时刻，我要向江苏人民表达最美好的祝愿。我们与江苏有着深厚的友谊，埃塞克斯郡将与江苏人民并肩作战，并将全力提供帮助。”本特雷说。江苏与埃塞克斯郡于1988年开始友好交往，1992年正式缔结友城关系，被誉为两国地方政府间友好合作的典范。“埃塞克斯郡与江苏是30多年的老朋友，过去几周里，我们一直牵挂着江苏。相信中国一定能战胜疫情，我们的心与你同在。”马宁说。 http://t.cn/A67cexcp ,,无,无,无,2020-02-29 15:10,微博视频号,17,5,0
IwrfP4icv,#及时关注#【世卫组织：20多种新冠肺炎疫苗正在研发】当地时间28日，世卫组织总干事谭德塞在日内瓦表示，目前全球共有20多种新冠肺炎疫苗正在研发阶段，一些治疗方法正进行临床试验，预计几周内将获首批结果。谭德塞说，中国的经验证明，只要尽早采取有力措施，仍有机会遏制病毒传播，避免其成为大流行病。（@央视新闻）http://t.cn/A67tCUTc ,,无,无,无,2020-02-29 14:33,微博视频号,6,3,1
IwqUprQa0,#江苏驰援湖北#【苏黄一家亲！#江苏护士防护服画蛋黄苏#】在黄石市妇幼保健院，隔离病房里的患者有不少是小朋友。为了拉近与小朋友的距离，来自江苏省老年病医院的感控护士蔡崔春在进仓前，在同事的帮助下在防护服上画了几颗“蛋黄酥”，同时还写了“黄石、江苏一家亲”的字样。  原图 ,,http://wx2.sinaimg.cn/large/a5f5fd2agy1gcd7ttyelqj20hs0e2arc.jpg,无,无,2020-02-29 13:40,微博 weibo.com,28,2,2
IwqntzToH,"#市县看点#【重磅！#南京人才落户新政延长一年#】今天，南京发布关于继续实施《南京市关于大学本科及以上学历人才和技术技能人才来宁落户的实施办法》的通知，意味着南京人才落户政策确认延期一年，3月1日起执行，届时可在""我的南京""APP上进行申请。哪些人符合申请要求？详情戳→ http://t.cn/A67qEEpT ",,无,无,无,2020-02-29 12:19,无,9,2,0
IwqaNzIMf,#夺取双胜利 我们在行动#【一图读懂  |  江苏省发改委推15条政策措施 全力促进企业复工复产】江苏省发展改革委近日印发《省发展改革委关于强化政策支持全力促进企业复工复产的通知》，明确提出促进企业复工复产的 15 条政策举措，涉及金融扶持、重大项目建设、能源保障、降费减负、信用管理、服务外资等多个方面，全力促进企业复工复产进程。#复工复产进行时# 原图 ,,http://wx1.sinaimg.cn/large/a5f5fd2agy1gcd4lef8n5j20kuam5npf.jpg,无,无,2020-02-29 11:47,无,1,2,0
IwpNr2R4O,#教育资讯#【江苏省教育厅：疫情期间，各级各类学校原则上不收取任何费用】江苏省教育厅今天发布《关于新冠肺炎疫情防控期间谨防利用线上教学进行网络诈骗的预警》，其中要求，各地各校不得以疫情防控期间开展线上教学为由擅自设立收费项目，违规收费。在疫情防控期间，各级各类学校原则上不收取任何费用，并及时告知家长和学生。 ,,无,无,无,2020-02-29 10:50,无,9,3,5
IwpHsxFVa,#教育资讯# 【#江苏继续推迟学生返校#】根据中央应对新冠肺炎疫情工作领导小组有关会议精神，结合我省疫情防控实际，经研究，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构，下同）继续推迟学生返校。各级各类学校要按照省教育厅有关要求，规范开展线上教育教学活动。严禁培训机构在学生返校前开展线下培训活动。具体返校时间，将视疫情防控情况，经科学评估后确定，提前一周向社会公布。各级教育行政部门和各级各类学校要据此制定实施计划，开展相关工作。（江苏教育发布） ,,无,无,无,2020-02-29 10:35,无,8,0,3
Iwpin4Fnz,#江苏疫情通报#【2月28日江苏无新增新型冠状病毒肺炎确诊病例 】2020年2月28日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例13例。截至2月28日24时，江苏省累计报告新型冠状病毒肺炎确诊病例631例。其中，南京市93例、无锡市55例、徐州市79例、常州市51例、苏州市87例、南通市40例、连云港市48例、淮安市66例、盐城市27例、扬州市23例、镇江市12例、泰州市37例、宿迁市13例。累计确诊病例中，在院病例112例。其中，轻型病例9例；普通型病例100例；重型病例1例（南京市1例）；危重型病例2例（无锡市1例、连云港市1例）。出院病例519例。其中，南京市58例、无锡市48例、徐州市71例、常州市48例、苏州市62例、南通市37例、连云港市35例、淮安市55例、盐城市27例、扬州市19例、镇江市10例、泰州市37例、宿迁市12例。目前，江苏省追踪到密切接触者12633人，已解除医学观察12443人，尚有190人正在接受医学观察。专家提醒：当前疫情形势依然严峻复杂。随着我省响应级别调整，各项限制性措施逐步解除，人群流动将逐渐恢复常态，暴露于传染源的机会大大增加，公众仍须注意加强自我防护。要继续保持防范意识，减少社会交流活动，减少不必要的人群聚集；家庭及办公场所要勤通风；出行时佩戴口罩，尤其是去往人群密集的公共场所时；要勤洗手，注意饮食卫生，养成健康的生活方式。 [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/a5f5fd2agy1gcd0pkjx9oj20fj0fhgr9.jpg,http://ww4.sinaimg.cn/large/a5f5fd2agy1gcd0w5x49rj20iw1jtai0.jpg",无,无,2020-02-29 09:33,无,23,2,6
Iwp6hpaJ5,"#江苏播报#【一图读懂《“苏政50条”服务指南》】一手抓疫情防控，一手抓经济发展。2 月 12 日，江苏省政府出台了《关于应对新型冠状病毒肺炎疫情影响 推动经济循环畅通和稳定持续发展的若干政策措施》（简称 "" 苏政 50 条 ""）。2 月 28 日，"" 苏政 50 条 "" 首批 16 项具体服务事项和办理指南出炉，涉及 6 条政策举措，涵盖能源价格、重大项目、投资审批等多个方面。 [组图共2张] 原图 ",,"http://ww1.sinaimg.cn/large/a5f5fd2agy1gccjjcevy3j20m83krnpe.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gccjjf8sgij20m837onpd.jpg",无,无,2020-02-29 09:04,微博 weibo.com,1,5,2
IwojzrP5P,#早安·江苏# 今天苏南地区阴有小雨，局部中雨，其它地区多云，全省偏北风3-4级，今天最低温度：淮北地区3～4℃，沿江和苏南地区8～9℃，其它地区6℃左右，今天最高温度：全省大部分地区11～12℃，本省东北部地区10℃左右。（图片：@薛--子）  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a5f5fd2agy1gccjdr7g62j20j60csdsl.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gccjdspb78j20j60csawi.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gccjdv6y47j20j60csqp2.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gccjdxsuixj20j60cs4md.jpg,http://ww3.sinaimg.cn/large/a5f5fd2agy1gccje02cljj20j60csh3f.jpg,http://ww4.sinaimg.cn/large/a5f5fd2agy1gccje36fqfj20j60cstxe.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gccje5v5ifj20j60cswsw.jpg,http://ww4.sinaimg.cn/large/a5f5fd2agy1gccje8vu2sj20j60csnee.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gccjeaxit3j20j60ash4g.jpg",无,无,2020-02-29 07:04,微博 weibo.com,5,5,4
IwkWWBadx,#夜思#低谷并不可怕，可怕的是我们没有正视挫折的勇气和重回巅峰的能力。人生如同昼夜更替，黑暗过后便是光明。别怕，直面挫折，不惧低谷，一切都会过去。晚安！  ,,无,无,无,2020-02-28 22:30,微博 weibo.com,25,2,1
Iwjnx2XCK,#生活提示#【生病就诊注意这些事】疫情期间，新冠肺炎之外的病人依然有就诊的需求。可有人担心去医院后不小心接触到确诊或疑似患者，万一被传染了怎么办？生病就医需要知道的那些事情，一起来看→ 荔直播的秒拍视频  ,,无,无,无,2020-02-28 18:30,微博视频号,1,1,1
Iwj6trrqQ,#教育资讯#【教育部：#研究生毕业答辩可适当延长时间#】教育部副部长翁铁慧：今年研究生毕业答辩可适当延长时间，特别是对湖北籍学生返校后再完成论文的，学术审核、学位审核可以再晚一点。（@央视新闻）你的毕业论文写完了没？央视新闻的微博视频  ,,无,无,无,2020-02-28 17:48,微博视频号,2,0,0
IwiWklzJp,#共同抗疫#【专家：#中西医结合治疗新冠肺炎效果1+1＞2#】在疫情防控阻击战中，中医药治疗的成效如何？国家卫健委新冠肺炎重症救治专家组成员、江苏省中医院副院长朱佳：西医的抗生素疗法对于免疫功能较差的患者效果并不显著，针对这类患者，中西医结合疗法能够发挥1+1大于2的作用。而新冠肺炎的早期及预防，中医药也能发挥重要作用。http://t.cn/A67GAqSX ,,无,无,无,2020-02-28 17:23,微博视频号,5,2,3
IwiDEzvLr,#江苏播报#【全国首个电力大数据公共查询平台在江苏亮相】今后，政府、企业可以自助查询复工复产、农业复耕等信息。2月28日，由国网江苏省电力有限公司开发的全国首个电力大数据公共查询平台（网址：www.jsnyyw.cn）在江苏亮相。该平台根据电力大数据分析全省企业复工、疫情相关企业复产等情况，通过互联网公开并每日更新有关信息，助力政府部门和企业复工复产、防控疫情。 原图 ,,http://wx4.sinaimg.cn/large/a5f5fd2agy1gcc6bxopx9j20c80euwjw.jpg,无,无,2020-02-28 16:37,微博 weibo.com,5,1,0
Iwi1vckki,#身边感动##最美逆行者生日快乐#【十二岁的生日祝福，爸爸为我写在了防护服上】2月28日是高睿昕的十二岁生日，也是他的父亲——第五批国家中医医疗队(江苏)领队、江苏省中医院中医肾病科副主任高坤进入武汉江夏方舱医院工作的第八天。为了给爸爸不在身边的小睿昕过生日，南京市建邺区兴隆街道金典社区的志愿者一大早就热心地带来了蛋糕和鲜花，满满的心意，让小睿昕和家人既惊喜又感动。两天前，身在武汉方舱医院的高坤还给儿子发了一张照片，高坤背后的防护服上，用醒目的笔迹写着“阿昕，生日快乐，爸爸在武汉”。看到远方的爸爸用这么酷的方式为自己祝贺生日，高睿昕开心极了。 [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/a5f5fd2agy1gcc2fwiopoj21400u0b2b.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gcc2fz520zj21400u0kjn.jpg,http://ww1.sinaimg.cn/large/a5f5fd2agy1gcc2g1i5ahj20u0140kjl.jpg,http://ww2.sinaimg.cn/large/a5f5fd2agy1gcc2g4td03j20u01407wh.jpg",无,无,2020-02-28 15:03,微博 weibo.com,6,2,2
IwhQbotEj,【#夺取双胜利 我们在行动# | 蹄疾步稳 迈进复工复产的“春天里”】时不我待，随着全国各地 陆续进入“复工进行时”，江苏也在持续发力。江苏企业复工情况全国领先，政企同心、多方努 力，蹄疾步稳推进经济发展，迈入复工复产的春天里。今天，我们聚焦常州、泰州和淮安的复工 情况，一起来看→ http://t.cn/A67GhCAB 原图 ,,http://wx3.sinaimg.cn/large/a5f5fd2agy1gcc3t354sgj20hs0vkn81.jpg,无,无,2020-02-28 14:35,无,4,14,10
IwhIqnnS3,#夺取双胜利 我们在行动##江苏播报#【江苏规上工业企业已复工4.4万家，复工面98%】截至2月26日，全省规模以上工业企业复工总数4.4万家，复工面98%；复工人数569万人，占复工企业所需用工数70%。南京、无锡、常州、苏州、镇江、宿迁6市实现100%复工。#复工复产进行时#  ,,无,无,无,2020-02-28 14:16,微博 weibo.com,28,4,16
Iwhoxhf2m,#夺取双胜利 我们在行动##复工复产进行时#【生鲜、粮油……你下的每笔订单，他们都“使命必达” 物流不言休，经济“循环”畅】复工复产，交通运输是“大动脉”，物流畅通是“微循环”。经济社会是一个动态循环系统，在防控疫情的同时，让生活原料、材料、资源、产品、商品等生产生活要素流通起来，是经济的活力之源。而要素的流通又需要强大的物流来支撑——让原料运得进、产品卖得出，满足企业复工复产基本条件，保障医疗用品、群众生活必需品等重点物资应急运输，都需要确保物畅其流。（@扬子晚报）http://t.cn/A67b9GVP ,,无,无,无,2020-02-28 13:27,微博视频号,0,0,0
IwheK2e6w,#江苏疫情通报#【徐州：出院病例中1例复检呈阳性】据@徐州发布 通报，2020年2月27日0-24时，徐州市无新增新型冠状病毒肺炎确诊病例。全市累计报告新型冠状病毒肺炎确诊病例79例(包含外省市病例1例)，其中，有轻型病例2例，普通型病例77例。目前出院病例71例。已确诊病例中，按照病例管理地区划分，鼓楼区3例，云龙区5例，贾汪区7例，泉山区5例，丰县3例，沛县7例，睢宁县31例，新沂市2例，邳州市15例，外省市病例1例。在岀院病例中，有1例经过14天集中隔离后，核酸复检阳性（无症状），目前已收入定点医院医学观察；排查到密切接触者8人，正在接受集中隔离观察。目前追踪到密切接触者2068人，已解除医学观察2030人，尚有38人正在接受医学观察。 原图 ,,http://wx1.sinaimg.cn/large/a5f5fd2agy1gcc151aaraj20fj0fhgr9.jpg,无,无,2020-02-28 13:02,微博 weibo.com,4,0,4
Iwh973QEm,#教育资讯#【#今年高考是否会推迟#？】教育部副部长翁铁慧：教育部正在密切关注疫情发展变化的情况，综合研判各方面因素对考试组织工作的影响。高考的方案必须要全力保障广大考生和涉考工作人员的生命安全和身体健康，相关工作安排将及时向社会公布。（@央视新闻）央视新闻的微博视频  ,,无,无,无,2020-02-28 12:49,微博视频号,4,2,0
IwgZMbri8,"#共同抗疫##江苏驰援湖北#【好消息不断！#黄石患者出院率超50%#】经过苏黄两地专家团队的合力救治，2月26日，被称为""黄石市第二座小汤山""的黄石有色医院，有6名患者出院，该院新冠肺炎患者累计出院人数已达103人。截至27日中午，黄石市阳新县人民医院也累计出院61人。截至目前，黄石全市新冠肺炎患者出院率超过50%。加油！http://t.cn/A67yuH9x ",,无,无,无,2020-02-28 12:26,微博视频号,23,4,0
IwgvEE4WX,#江苏播报#【江苏省政府公布一批人事任免】2月28日，江苏政务公开微博发布省政府最新人事任免信息。任命芮经忠为省政府台湾事务办公室副主任；任命邱泽森为省卫生健康委员会副主任，试用期一年；任命丁强为南京医科大学副校长，试用期一年。  原图 ,,http://wx4.sinaimg.cn/large/a5f5fd2agy1gcbxxhcri0j20dw0dwjxf.jpg,无,无,2020-02-28 11:11,微博 weibo.com,2,0,2
IwglSjvFS,#共同抗疫##江苏驰援湖北#【每天2万斤！#江苏蔷薇村向湖北连捐20天蔬菜#：一直捐到疫情结束】2月7日起，宿迁蔷薇村每天会将2万多斤青菜送到湖北。这些菜出自村民李华忠和李华平的蔬菜基地，有人当志愿者收菜装车，有司机请缨送菜。李华忠说，会一直捐到疫情结束，“我们捐这点菜算不了什么，在一线的医务人员才是真正的英雄。”http://t.cn/A67y3B8i ,,无,无,无,2020-02-28 10:47,微博视频号,43,7,3
Iwg6AF0O3,#江苏驰援湖北#【江苏向湖北黄石集中捐赠疫情防控资金和物资 累计捐赠款物已达8000余万元】2月28日上午，江苏省支援黄石市新冠肺炎疫情防控资金和物资捐赠仪式在黄石市举行。2月9日以来，江苏省坚决贯彻中央决策部署，坚持“责任包干、落细落实”，积极开展对口支援黄石各项工作，迅速派出360余人的医疗队，在做好医疗救治、参与疫情防控的同时，积极调度资源，动员引导社会各界给黄石提供更大支持。截至目前，据不完全统计，江苏省共计援助黄石市资金3538万元，物资71批次、191万件、估值4500余万元。 原图 ,,http://wx1.sinaimg.cn/large/a5f5fd2agy1gcbw58fe3ej20xk0lokjl.jpg,无,无,2020-02-28 10:10,无,29,4,4
